ambito;dbms;istanza;nome tabella;nome colonna;nome funzionale
global;prosgres;xxxxxx;Application;fTRate;Tasso del finanziamento pratica
global;prosgres;xxxxxx;Application;fTTaeg;TAEG del finanziamento pratica
global;prosgres;xxxxxx;Application;lSfBankLeasing;Banca del leasing pratica
global;prosgres;xxxxxx;Application;lSfBusinessName;Ragione sociale leasing pratica
global;prosgres;xxxxxx;Application;lSfLeasingDestination;Destinazione leasing pratica
global;prosgres;xxxxxx;Application;lDclAmount;Importo leasing pratica
global;prosgres;xxxxxx;Application;lDclContractSignatureDate;Data firma contratto leasing pratica
global;prosgres;xxxxxx;Application;lDclResolutionDate;Data delibera leasing pratica
global;prosgres;xxxxxx;Application;lDclDuration;Durata leasing pratica
global;prosgres;xxxxxx;Application;lDclPeriodicity;Periodicita canoni leasing pratica
global;prosgres;xxxxxx;Application;lDclFirstDeadline;Prima scadenza leasing pratica
global;prosgres;xxxxxx;Application;lDclFeeAmount;Importo canone leasing pratica
global;prosgres;xxxxxx;Application;lDclFeePercentage;Percentuale canone leasing pratica
global;prosgres;xxxxxx;Application;lDclRansomPercentage;Percentuale riscatto leasing pratica
global;prosgres;xxxxxx;Application;lDclRate;Tasso leasing pratica
global;prosgres;xxxxxx;Application;protocolNumber;Numero protocollo pratica
global;prosgres;xxxxxx;Application;protocolDate;Data protocollo pratica
global;prosgres;xxxxxx;Application;createdAt;Data creazione pratica
global;prosgres;xxxxxx;Application;updatedAt;Data aggiornamento pratica
global;prosgres;xxxxxx;Application;deletedAt;Data eliminazione pratica
global;prosgres;xxxxxx;Application;status;Stato corrente pratica
global;prosgres;xxxxxx;Application;inquestStatus;Stato istruttoria pratica
global;prosgres;xxxxxx;Application;nsiaNumeroPosizione;Numero posizione NSIA pratica
global;prosgres;xxxxxx;Application;nsiaDataProtocollo;Data protocollo NSIA pratica
global;prosgres;xxxxxx;Application;nsiaNota;Nota NSIA pratica
global;prosgres;xxxxxx;Application;nsiaDataDelibera;Data delibera NSIA pratica
global;prosgres;xxxxxx;Application;nsiaCodiceCor;Codice COR NSIA pratica
global;prosgres;xxxxxx;Application;nsiaDataRilascioCor;Data rilascio COR NSIA pratica
global;prosgres;xxxxxx;Application;nsiaLDclImportoRiscatto;Importo riscatto leasing pratica
global;prosgres;xxxxxx;Application;nsiaDurataGaranzia;Durata garanzia NSIA pratica
global;prosgres;xxxxxx;Application;nsiaImportoRiassicurazione;Importo riassicurazione NSIA pratica
global;prosgres;xxxxxx;Application;nsiaEslRiassicurazione;ESL riassicurazione NSIA pratica
global;prosgres;xxxxxx;Application;nsiaDataInizioGaranzia;Data inizio garanzia pratica
global;prosgres;xxxxxx;Application;nsiaDataFineGaranzia;Data fine garanzia pratica
global;prosgres;xxxxxx;Application;nsiaDataLiquidazioneConfidi;Data liquidazione confidi pratica
global;prosgres;xxxxxx;Application;nsiaImportoPerditaConfidi;Importo perdita confidi pratica
global;prosgres;xxxxxx;Application;nsiaDataRichiestaRimborso;Data richiesta rimborso pratica
global;prosgres;xxxxxx;Application;nsiaDataProtocolloPerdita;Data protocollo perdita pratica
global;prosgres;xxxxxx;Application;nsiaDataDeliberaPerdita;Data delibera perdita pratica
global;prosgres;xxxxxx;Application;nsiaImportoRimborsoPrenotato;Importo rimborso prenotato pratica
global;prosgres;xxxxxx;Application;nsiaImportoRimborsato;Importo rimborsato NSIA pratica
global;prosgres;xxxxxx;Application;nsiaDataLiquidazione;Data liquidazione NSIA pratica
global;prosgres;xxxxxx;Application;nsiaImportoRestituitoConfidi;Importo restituito confidi pratica
global;prosgres;xxxxxx;Application;nsiaDataRestituzioneConfidi;Data restituzione confidi pratica
global;prosgres;xxxxxx;ApplicationAttachment;id;Identificativo allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;fileName;Nome file allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;originalFileName;Nome originale allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;fileSize;Dimensione allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;fileUploadedAt;Data caricamento allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;description;Descrizione allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;createdAt;Data creazione allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;updatedAt;Data aggiornamento allegato pratica
global;prosgres;xxxxxx;ApplicationAttachment;deletedAt;Data eliminazione allegato pratica
global;prosgres;xxxxxx;ApplicationGroup;id;Identificativo gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;protocolNumber;Numero protocollo gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;protocolDate;Data protocollo gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;status;Stato gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;filename;Nome file gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;originalFileName;Nome originale gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;fileSize;Dimensione file gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;fileUploadedAt;Data caricamento gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;createdAt;Data creazione gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;updatedAt;Data aggiornamento gruppo pratiche
global;prosgres;xxxxxx;ApplicationGroup;deletedAt;Data eliminazione gruppo pratiche
global;prosgres;xxxxxx;ApplicationImport;id;Identificativo importazione pratiche
global;prosgres;xxxxxx;ApplicationImport;filename;Nome file importazione pratiche
global;prosgres;xxxxxx;ApplicationImport;status;Stato importazione pratiche
global;prosgres;xxxxxx;ApplicationImport;createdAt;Data creazione importazione pratiche
global;prosgres;xxxxxx;ApplicationImport;updatedAt;Data aggiornamento importazione pratiche
global;prosgres;xxxxxx;ApplicationImport;deletedAt;Data eliminazione importazione pratiche
global;prosgres;xxxxxx;ApplicationImport;errors;Dettaglio errori importazione pratiche
global;prosgres;xxxxxx;ApplicationImportTemplate;id;Identificativo template importazione
global;prosgres;xxxxxx;ApplicationImportTemplate;filename;Nome file template importazione
global;prosgres;xxxxxx;ApplicationImportTemplate;active;Template importazione attivo
global;prosgres;xxxxxx;ApplicationImportTemplate;createdAt;Data creazione template importazione
global;prosgres;xxxxxx;ApplicationImportTemplate;revision;Numero revisione template importazione
global;prosgres;xxxxxx;ApplicationMessage;id;Identificativo messaggio pratica
global;prosgres;xxxxxx;ApplicationMessage;text;Testo messaggio pratica
global;prosgres;xxxxxx;ApplicationMessage;published;Messaggio pratica pubblicato
global;prosgres;xxxxxx;ApplicationMessage;createdAt;Data creazione messaggio pratica
global;prosgres;xxxxxx;ApplicationMessage;updatedAt;Data aggiornamento messaggio pratica
global;prosgres;xxxxxx;ApplicationMessage;deletedAt;Data eliminazione messaggio pratica
global;prosgres;xxxxxx;ApplicationMessageAttachment;id;Identificativo allegato messaggio
global;prosgres;xxxxxx;ApplicationMessageAttachment;fileName;Nome file allegato messaggio
global;prosgres;xxxxxx;ApplicationMessageAttachment;fileSize;Dimensione allegato messaggio
global;prosgres;xxxxxx;ApplicationMessageAttachment;originalFileName;Nome originale allegato messaggio
global;prosgres;xxxxxx;ApplicationMessageAttachment;createdAt;Data creazione allegato messaggio
global;prosgres;xxxxxx;ApplicationMessageAttachment;updatedAt;Data aggiornamento allegato messaggio
global;prosgres;xxxxxx;ApplicationMessageAttachment;deletedAt;Data eliminazione allegato messaggio
global;prosgres;xxxxxx;ApplicationStatusLog;id;Identificativo log stato pratica
global;prosgres;xxxxxx;ApplicationStatusLog;status;Stato registrato nel log
global;prosgres;xxxxxx;ApplicationStatusLog;description;Motivazione cambio stato pratica
global;prosgres;xxxxxx;ApplicationStatusLog;createdAt;Data creazione log stato
global;prosgres;xxxxxx;ApplicationStatusLog;deletedAt;Data eliminazione log stato
global;prosgres;xxxxxx;AssuranceEnterpriseImport;id;Identificativo importazione impresa
global;prosgres;xxxxxx;AssuranceEnterpriseImport;practiceId;Codice pratica importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;flagEnergia;Indicatore energia impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;gAssuranceAmount;Importo garanzia impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;gResolutionDate;Data delibera garanzia impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;acCommissionsRebateRequest;Richiesta rimborso commissioni impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;acInterestsContributionRequest;Richiesta contributo interessi impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;acLostFundContributionRequest;Richiesta fondo perduto impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;acContributionApplicationAmount;Importo contributo richiesto impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;acApplicationMembers;Numero soci richiedenti impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibBusinessName;Ragione sociale impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibFiscalCode;Codice fiscale impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibSize;Dimensione impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibConstitutionDate;Data costituzione impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibChamberOfCommerceCode;Codice camera commercio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibChamberOfCommerceRegistrationDate;Data iscrizione camera commercio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibAIACode;Codice AIA impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibAIARegistrationDate;Data iscrizione AIA impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibAtecoCode;Codice ATECO impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibAtecoStartDate;Data inizio ATECO impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibIban;IBAN impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ibLegalForm;Forma giuridica impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;pecAddress;Indirizzo PEC impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;officeAddress;Indirizzo sede legale impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;officePostcode;CAP sede legale impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;officeCity;Comune sede legale impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;workplaceAddress;Indirizzo sede operativa impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;workplacePostcode;CAP sede operativa impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;workplaceCity;Comune sede operativa impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerLastname;Cognome titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerFirstname;Nome titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerBirthDate;Data nascita titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerGender;Sesso titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerFiscalCode;Codice fiscale titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerBirthCity;Comune nascita titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerBirthCountry;Stato nascita titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;ownerJoinDate;Data ingresso titolare impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberLastname;Cognome primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberFirstname;Nome primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberBirthDate;Data nascita primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberGender;Sesso primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberFiscalCode;Codice fiscale primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberBirthCity;Comune nascita primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberBirthCountry;Stato nascita primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;firstMemberJoinDate;Data ingresso primo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberLastname;Cognome secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberFirstname;Nome secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberBirthDate;Data nascita secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberGender;Sesso secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberFiscalCode;Codice fiscale secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberBirthCity;Comune nascita secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberBirthCountry;Stato nascita secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;secondMemberJoinDate;Data ingresso secondo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberLastname;Cognome terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberFirstname;Nome terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberBirthDate;Data nascita terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberGender;Sesso terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberFiscalCode;Codice fiscale terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberBirthCity;Comune nascita terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberBirthCountry;Stato nascita terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;thirdMemberJoinDate;Data ingresso terzo socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberLastname;Cognome quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberFirstname;Nome quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberBirthDate;Data nascita quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberGender;Sesso quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberFiscalCode;Codice fiscale quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberBirthCity;Comune nascita quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberBirthCountry;Stato nascita quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;fourthMemberJoinDate;Data ingresso quarto socio impresa importata
global;prosgres;xxxxxx;AssuranceEnterpriseImport;row;Numero riga importazione impresa
global;prosgres;xxxxxx;AssuranceEnterpriseImport;createdAt;Data creazione importazione impresa
global;prosgres;xxxxxx;AssuranceEnterpriseImport;updatedAt;Data aggiornamento importazione impresa
global;prosgres;xxxxxx;AssuranceEnterpriseImport;deletedAt;Data eliminazione importazione impresa
global;prosgres;xxxxxx;AtecoCode;id;Identificativo codice ATECO
global;prosgres;xxxxxx;AtecoCode;code;Codice ATECO
global;prosgres;xxxxxx;AtecoCode;codeWithoutDots;Codice ATECO senza punti
global;prosgres;xxxxxx;AtecoCode;description;Descrizione attivita ATECO
global;prosgres;xxxxxx;AtecoCode;section;Sezione classificazione ATECO
global;prosgres;xxxxxx;Bank;id;Identificativo banca
global;prosgres;xxxxxx;Bank;name;Denominazione banca
global;prosgres;xxxxxx;Bank;code;Codice banca
global;prosgres;xxxxxx;BankLeasing;id;Identificativo banca leasing
global;prosgres;xxxxxx;BankLeasing;name;Denominazione banca leasing
global;prosgres;xxxxxx;BankLeasing;code;Codice banca leasing
global;prosgres;xxxxxx;City;id;Identificativo comune
global;prosgres;xxxxxx;City;name;Nome comune
global;prosgres;xxxxxx;City;code;Codice comune
global;prosgres;xxxxxx;City;inRegion;Comune presente nella regione
global;prosgres;xxxxxx;CompanySize;id;Identificativo dimensione impresa
global;prosgres;xxxxxx;CompanySize;size;Descrizione dimensione impresa
global;prosgres;xxxxxx;CompanySize;code;Codice dimensione impresa
global;prosgres;xxxxxx;Confidi;id;Identificativo confidi
global;prosgres;xxxxxx;Confidi;businessName;Ragione sociale confidi
global;prosgres;xxxxxx;Confidi;legalRepresentative;Legale rappresentante confidi
global;prosgres;xxxxxx;Confidi;iban;IBAN confidi
global;prosgres;xxxxxx;Confidi;fiscalCode;Codice fiscale confidi
global;prosgres;xxxxxx;Confidi;nsiaCode;Codice NSIA del confidi
global;prosgres;xxxxxx;Confidi;nsiaTotGarantito;Totale garantito NSIA
global;prosgres;xxxxxx;Confidi;nsiaTotRiservaAccantonata;Riserva accantonata NSIA
global;prosgres;xxxxxx;Confidi;nsiaTotInefficace;Totale importo inefficace NSIA
global;prosgres;xxxxxx;Confidi;nsiaTotEscusso;Totale importo escusso NSIA
global;prosgres;xxxxxx;Confidi;nsiaTotEscutibile;Totale importo escutibile NSIA
global;prosgres;xxxxxx;Confidi;nsiaNumeroPratichePresentate;Numero pratiche presentate NSIA
global;prosgres;xxxxxx;Confidi;nsiaNumeroPraticheApprovate;Numero pratiche approvate NSIA
global;prosgres;xxxxxx;Confidi;nsiaNumeroPraticheInEssere;Numero pratiche attive NSIA
global;prosgres;xxxxxx;Country;id;Identificativo nazione
global;prosgres;xxxxxx;Country;name;Nome nazione
global;prosgres;xxxxxx;Country;code;Codice nazione
global;prosgres;xxxxxx;FinancialDestination;id;Identificativo destinazione finanziamento
global;prosgres;xxxxxx;FinancialDestination;destination;Descrizione destinazione finanziamento
global;prosgres;xxxxxx;FinancialDestination;code;Codice destinazione finanziamento
global;prosgres;xxxxxx;FinancingImport;id;Identificativo importazione finanziamento
